Country,HDI
Norway,Very High
Switzerland,Very High
Australia,Very High
Ireland,Very High
Germany,Very High
Iceland,Very High
Hong Kong,Very High
Sweden,Very High
Singapore,Very High
Netherlands,Very High
Denmark,Very High
Canada,Very High
United States,Very High
United Kingdom,Very High
Finland,Very High
New Zealand,Very High
Belgium,Very High
Liechtenstein,Very High
Japan,Very High
Austria,Very High
Luxembourg,Very High
Israel,Very High
South Korea,Very High
France,Very High
Slovenia,Very High
Spain,Very High
Czech Republic,Very High
Italy,Very High
Malta,Very High
Estonia,Very High
Greece,Very High
Cyprus,Very High
Poland,Very High
United Arab Emirates,Very High
Andorra,Very High
Lithuania,Very High
Qatar,Very High
Slovak Republic,Very High
Brunei,Very High
Saudi Arabia,Very High
Latvia,Very High
Portugal,Very High
Bahrain,Very High
Chile,Very High
Hungary,Very High
Croatia,Very High
Argentina,Very High
Oman,Very High
Russia,Very High
Montenegro,Very High
Bulgaria,Very High
Romania,Very High
Belarus,Very High
Bahamas,Very High
Uruguay,Very High
Kuwait,Very High
Malaysia,Very High
Barbados,Very High
Kazakhstan,Very High
Iran,High
Palau,High
Seychelles,High
Costa Rica,High
Turkey,High
Mauritius,High
Panama,High
Serbia,High
Albania,High
Trinidad and Tobago,High
Antigua and Barbuda,High
Georgia,High
Saint Kitts and Nevis,High
Cuba,High
Mexico,High
Grenada,High
Sri Lanka,High
Bosnia-Herzegovina,High
Venezuela,High
Brazil,High
Azerbaijan,High
Lebanon,High
Macedonia,High
Armenia,High
Thailand,High
Algeria,High
China,High
Ecuador,High
Ukraine,High
Peru,High
Colombia,High
Saint Lucia,High
Fiji,High
Mongolia,High
Dominican Republic,High
Jordan,High
Tunisia,High
Jamaica,High
Tonga,High
Saint Vincent and the Grenadines,High
Suriname,High
Botswana,High
Maldives,High
Dominica,High
Samoa,High
Uzbekistan,High
Belize,High
Marshall Islands,High
Libya,High
Turkmenistan,High
Gabon,High
Paraguay,High
Moldova,High
Philippines,Medium
South Africa,Medium
Egypt,Medium
Indonesia,Medium
Vietnam,Medium
Bolivia,Medium
Palestine,Medium
Iraq,Medium
El Salvador,Medium
Kyrgyzstan,Medium
Morocco,Medium
Nicaragua,Medium
Cape Verde,Medium
Guyana,Medium
Guatemala,Medium
Tajikistan,Medium
Namibia,Medium
India,Medium
Micronesia,Medium
East Timor,Medium
Honduras,Medium
Bhutan,Medium
Kiribati,Medium
Bangladesh,Medium
Democratic Republic of the Congo,Medium
Vanuatu,Medium
Laos,Medium
Ghana,Medium
Equatorial Guinea,Medium
Kenya,Medium
Sao Tome and Principe,Medium
Swaziland,Medium
Zambia,Medium
Cambodia,Medium
Angola,Medium
Myanmar,Medium
Nepal,Medium
Pakistan,Medium
Cameroon,Medium
Solomon Islands,Low
Papua New Guinea,Low
Tanzania,Low
Syria,Low
Zimbabwe,Low
Nigeria,Low
Rwanda,Low
Lesotho,Low
Mauritania,Low
Madagascar,Low
Uganda,Low
Benin,Low
Senegal,Low
Comoros,Low
Togo,Low
Sudan,Low
Afghanistan,Low
Haiti,Low
Ivory Coast,Low
Malawi,Low
Djibouti,Low
Ethiopia,Low
Gambia,Low
Guinea,Low
Congo,Low
Guinea-Bissau,Low
Yemen,Low
Eritrea,Low
Mozambique,Low
Liberia,Low
Mali,Low
Burkina Faso,Low
Sierra Leone,Low
Burundi,Low
Chad,Low
South Sudan,Low
Central African Republic,Low
Niger,Low